,Policy type,Event details,Event frequency,Event relevance,Previous attendance,Is presenting,CarbonReduction,LossFromReduction,Reputation,LossFromReputation,Optimal
527,Carbon tax/flight,Meetings,High,High,Medium,Yes,0.85948,0.0,0.51539,0.0,No
528,As-is,Meetings,Medium,Low,Low,No,-1.38611,0.0,-1.94029,0.0,No
529,Carbon tax/distance,Workshop,Low,Medium,High,Yes,1.03834,0.0,0.51539,0.0,No
530,As-is,Conference,Medium,Low,High,No,-1.38611,0.0,-1.94029,0.0,No
531,As-is,Conference,Medium,Medium,High,No,-1.38611,0.0,0.51539,0.0,No
532,Carbon tax/distance,Workshop,Low,Low,High,Yes,1.03834,0.0,0.51539,0.0,No
533,Cap distance,Conference,Low,Low,Medium,Yes,-0.51172,0.0,0.51539,0.0,No
534,Cap distance,Meetings,Medium,Low,High,No,-0.51172,0.0,-1.94029,0.0,No
535,As-is,Meetings,Medium,Medium,Low,No,-1.38611,0.0,0.51539,0.0,No
536,Carbon tax/flight,Workshop,High,High,High,No,0.85948,0.0,0.51539,0.0,No
537,Cap distance,Workshop,High,Medium,Medium,Yes,-0.51172,0.0,0.51539,0.0,No
538,Cap distance,Conference,Low,Medium,Medium,Yes,-0.51172,0.0,0.51539,0.0,No
539,Carbon tax/flight,Workshop,High,Low,Medium,No,0.85948,0.0,-1.94029,0.0,No
540,Carbon tax/distance,Conference,Medium,High,Medium,Yes,1.03834,0.0,0.51539,0.0,No
541,Carbon tax/distance,Conference,High,Medium,Medium,Yes,1.03834,0.0,0.51539,0.0,No
542,Carbon tax/flight,Conference,Low,Medium,Medium,Yes,0.85948,0.0,0.51539,0.0,No
543,Carbon tax/flight,Workshop,Medium,Medium,Medium,No,0.85948,0.0,0.51539,0.0,No
544,As-is,Conference,High,Medium,Low,Yes,-1.38611,0.0,0.51539,0.0,No
